index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
28,0.933333,0.619200,-0.204160,0.519200,0.619193,-0.204161,0.519193,-0.223426,0.299170,-0.114470,-1.445893,0.034176,1.743120,0.446683,0.035000,0.035000,0.00000947
29,0.966667,0.624383,-0.203123,0.524383,0.624376,-0.203125,0.524376,-0.222377,0.317343,-0.113035,-1.406471,0.035609,1.721827,0.450226,0.035000,0.035000,0.00000961
30,1.000000,0.628921,-0.202216,0.528921,0.628915,-0.202217,0.528915,-0.221567,0.334066,-0.111798,-1.370549,0.036909,1.702591,0.453313,0.035000,0.035000,0.00000937
31,1.033333,0.632760,-0.201448,0.532760,0.632754,-0.201449,0.532754,-0.220969,0.348862,-0.110765,-1.339029,0.038046,1.685838,0.455917,0.035000,0.035000,0.00000969
32,1.066667,0.635844,-0.200831,0.535844,0.635837,-0.200833,0.535837,-0.220553,0.361225,-0.109942,-1.312871,0.038987,1.672022,0.458005,0.035000,0.035000,0.00000954
33,1.100000,0.638115,-0.200377,0.538115,0.638109,-0.200378,0.538109,-0.220286,0.370629,-0.109339,-1.293077,0.039698,1.661617,0.459543,0.035000,0.035000,0.00000972
34,1.133333,0.639520,-0.200096,0.539520,0.639513,-0.200098,0.539513,-0.220138,0.376577,-0.108966,-1.280601,0.040145,1.655081,0.460493,0.035000,0.035000,0.00000913
35,1.166667,0.640000,-0.200000,0.540000,0.639994,-0.200001,0.539993,-0.220091,0.378637,-0.108839,-1.276289,0.040300,1.652825,0.460819,0.035000,0.035000,0.00000920
36,1.200000,0.640096,-0.199520,0.539760,0.640094,-0.199528,0.539764,-0.219504,0.378317,-0.108610,-1.277346,0.040185,1.653572,0.461586,0.035000,0.035000,0.00001001
37,1.233333,0.640377,-0.198115,0.539058,0.640375,-0.198124,0.539062,-0.217760,0.377298,-0.107930,-1.280640,0.039840,1.655876,0.463860,0.035000,0.035000,0.00000920
38,1.266667,0.640831,-0.195844,0.537922,0.640830,-0.195852,0.537926,-0.214949,0.375697,-0.106828,-1.285894,0.039288,1.659576,0.467536,0.035000,0.035000,0.00000965
39,1.300000,0.641448,-0.192760,0.536380,0.641446,-0.192769,0.536385,-0.211150,0.373617,-0.105325,-1.292885,0.038550,1.664548,0.472531,0.035000,0.035000,0.00000978
40,1.333333,0.642216,-0.188921,0.534461,0.642214,-0.188930,0.534465,-0.206448,0.371172,-0.103442,-1.301366,0.037649,1.670659,0.478753,0.035000,0.035000,0.00000974
41,1.366667,0.643123,-0.184383,0.532191,0.643122,-0.184391,0.532196,-0.200925,0.368486,-0.101200,-1.311080,0.036608,1.677775,0.486114,0.035000,0.035000,0.00000930
42,1.400000,0.644160,-0.179200,0.529600,0.644159,-0.179208,0.529604,-0.194667,0.365684,-0.098623,-1.321768,0.035451,1.685757,0.494523,0.035000,0.035000,0.00000952
43,1.433333,0.645314,-0.173430,0.526715,0.645312,-0.173438,0.526719,-0.187752,0.362888,-0.095733,-1.333180,0.034199,1.694476,0.503892,0.035000,0.035000,0.00000962
44,1.466667,0.646574,-0.167128,0.523564,0.646573,-0.167136,0.523568,-0.180261,0.360213,-0.092555,-1.345075,0.032873,1.703804,0.514130,0.035000,0.035000,0.00000939
45,1.500000,0.647930,-0.160350,0.520175,0.647929,-0.160358,0.520179,-0.172270,0.357765,-0.089115,-1.357224,0.031491,1.713617,0.525145,0.035000,0.035000,0.00000916
46,1.533333,0.649370,-0.153152,0.516576,0.649368,-0.153161,0.516580,-0.163852,0.355639,-0.085442,-1.369419,0.030070,1.723799,0.536843,0.035000,0.035000,0.00000971
47,1.566667,0.650882,-0.145591,0.512795,0.650881,-0.145599,0.512799,-0.155075,0.353918,-0.081565,-1.381474,0.028622,1.734245,0.549135,0.035000,0.035000,0.00000906
48,1.600000,0.652456,-0.137721,0.508861,0.652454,-0.137730,0.508865,-0.146008,0.352670,-0.077516,-1.393217,0.027161,1.744850,0.561923,0.035000,0.035000,0.00000945
49,1.633333,0.654080,-0.129600,0.504800,0.654078,-0.129609,0.504804,-0.136714,0.351947,-0.073327,-1.404505,0.025695,1.755522,0.575117,0.035000,0.035000,0.00000985
50,1.666667,0.655743,-0.121283,0.500641,0.655742,-0.121291,0.500645,-0.127253,0.351788,-0.069034,-1.415214,0.024232,1.766175,0.588622,0.035000,0.035000,0.00000895
51,1.700000,0.657435,-0.112826,0.496413,0.657434,-0.112834,0.496417,-0.117688,0.352215,-0.064669,-1.425239,0.022777,1.776725,0.602343,0.035000,0.035000,0.00000921
52,1.733333,0.659143,-0.104285,0.492142,0.659142,-0.104293,0.492146,-0.108075,0.353238,-0.060270,-1.434499,0.021336,1.787100,0.616186,0.035000,0.035000,0.00000924
53,1.766667,0.660857,-0.095715,0.487858,0.660856,-0.095724,0.487862,-0.098472,0.354847,-0.055870,-1.442935,0.019911,1.797231,0.630059,0.035000,0.035000,0.00000934
